Sigma,Mu
0.112007534125475,0.0177767324488989
0.11097663698857,0.0193895192968959
0.109964653671463,0.0210023061448929
0.108972111112179,0.0226150929928899
0.107999545308181,0.0242278798408869
0.107047500749297,0.0258406666888839
0.106116529767686,0.0274534535368809
0.105207191800607,0.0290662403848779
0.10432005256216,0.0306790272328749
0.103455683120562,0.0322918140808719
0.102614658878159,0.0339046009288688
0.101797558451998,0.0355173877768658
0.101004962453651,0.0371301746248628
0.100237452167876,0.0387429614728598
0.0994956081308078,0.0403557483208568
0.0987800086095346,0.0419685351688538
0.0980912279862401,0.0435813220168508
0.0974298350515164,0.0451941088648478
0.0967963912129538,0.0468068957128448
0.0961914486267103,0.0484196825608418
0.0956155482613954,0.0500324694088388
0.0950692179052599,0.0516452562568358
0.0945529701293231,0.0532580431048328
0.0940673002206607,0.0548708299528298
0.0936126841015655,0.0564836168008268
0.0931895762516572,0.0580964036488237
0.0927984076511861,0.0597091904968207
0.0924395837647289,0.0613219773448177
0.0921134825851532,0.0629347641928147
0.0918204527581009,0.0645475510408117
0.0915608118072809,0.0661603378888087
0.0913348444805285,0.0677731247368057
0.0911428012358886,0.0693859115848027
0.0909848968858866,0.0709986984327997
0.0908613094166845,0.0726114852807967
0.0907721789969916,0.0742242721287937
0.0907176071894406,0.0758370589767907
0.0906976563746922,0.0774498458247877
0.0907123493958468,0.0790626326727847
0.0907616694278758,0.0806754195207817
0.0908455600738096,0.0822882063687786
0.090963925686404,0.0839009932167757
0.0911166319110155,0.0855137800647726
0.091303506442533,0.0871265669127696
0.0915243399864987,0.0887393537607666
0.0917788874120573,0.0903521406087636
0.0920668690821749,0.0919649274567606
0.092387972344683,0.0935777143047576
0.0927418531661829,0.0951905011527546
0.0931281378896953,0.0968032880007516
0.0935464250961774,0.0984160748487486
0.0939962875496458,0.100028861696746
0.0944772742056259,0.101641648544743
0.0949889122629725,0.10325443539274
0.095530709239745,0.104867222240737
0.0961021550547284,0.106480009088734
0.0967027240973375,0.108092795936731
0.0973318772699717,0.109705582784728
0.0979890639883668,0.111318369632725
