Sigma,Mu
0.00883488318496397,0.0177767324488989
0.0101837891572061,0.0193895192968959
0.0115326951294483,0.0210023061448929
0.0128816011016904,0.0226150929928899
0.0142305070739326,0.0242278798408869
0.0155794130461747,0.0258406666888839
0.0169283190184169,0.0274534535368809
0.018277224990659,0.0290662403848779
0.0196261309629011,0.0306790272328749
0.0209750369351433,0.0322918140808719
0.0223239429073854,0.0339046009288688
0.0236728488796276,0.0355173877768658
0.0250217548518697,0.0371301746248628
0.0263706608241119,0.0387429614728598
0.027719566796354,0.0403557483208568
0.0290684727685962,0.0419685351688538
0.0304173787408383,0.0435813220168508
0.0317662847130805,0.0451941088648478
0.0331151906853226,0.0468068957128448
0.0344640966575648,0.0484196825608418
0.0358130026298069,0.0500324694088388
0.0371619086020491,0.0516452562568358
0.0385108145742912,0.0532580431048328
0.0398597205465333,0.0548708299528298
0.0412086265187755,0.0564836168008268
0.0425575324910176,0.0580964036488237
0.0439064384632598,0.0597091904968207
0.0452553444355019,0.0613219773448177
0.0466042504077441,0.0629347641928147
0.0479531563799862,0.0645475510408117
0.0493020623522284,0.0661603378888087
0.0506509683244705,0.0677731247368057
0.0519998742967127,0.0693859115848027
0.0533487802689548,0.0709986984327997
0.054697686241197,0.0726114852807967
0.0560465922134391,0.0742242721287937
0.0573954981856813,0.0758370589767907
0.0587444041579234,0.0774498458247877
0.0600933101301656,0.0790626326727847
0.0614422161024077,0.0806754195207817
0.0627911220746498,0.0822882063687786
0.064140028046892,0.0839009932167757
0.0654889340191341,0.0855137800647726
0.0668378399913763,0.0871265669127696
0.0681867459636184,0.0887393537607666
0.0695356519358606,0.0903521406087636
0.0708845579081027,0.0919649274567606
0.0722334638803449,0.0935777143047576
0.073582369852587,0.0951905011527546
0.0749312758248292,0.0968032880007516
0.0762801817970713,0.0984160748487486
0.0776290877693135,0.100028861696746
0.0789779937415556,0.101641648544743
0.0803268997137978,0.10325443539274
0.0816758056860399,0.104867222240737
0.0830247116582821,0.106480009088734
0.0843736176305242,0.108092795936731
0.0857225236027664,0.109705582784728
0.0870714295750085,0.111318369632725
0.0884203355472506,0.112931156480722
0.0897692415194928,0.114543943328719
0.0911181474917349,0.116156730176716
0.0924670534639771,0.117769517024713
0.0938159594362192,0.11938230387271
0.0951648654084614,0.120995090720706
0.0965137713807035,0.122607877568703
0.0978626773529457,0.1242206644167
0.0992115833251878,0.125833451264697
0.10056048929743,0.127446238112694
0.101909395269672,0.129059024960691
0.103258301241914,0.130671811808688
0.104607207214156,0.132284598656685
0.105956113186399,0.133897385504682
0.107305019158641,0.135510172352679
0.108653925130883,0.137122959200676
0.110002831103125,0.138735746048673
0.111351737075367,0.14034853289667
0.112700643047609,0.141961319744667
0.114049549019851,0.143574106592664
0.115398454992094,0.145186893440661
0.116747360964336,0.146799680288658
0.118096266936578,0.148412467136655
0.11944517290882,0.150025253984652
0.120794078881062,0.151638040832649
0.122142984853304,0.153250827680646
0.123491890825546,0.154863614528643
0.124840796797789,0.15647640137664
0.126189702770031,0.158089188224637
0.127538608742273,0.159701975072634
0.128887514714515,0.161314761920631
0.130236420686757,0.162927548768628
0.131585326658999,0.164540335616625
0.132934232631241,0.166153122464622
0.134283138603484,0.167765909312619
0.135632044575726,0.169378696160616
0.136980950547968,0.170991483008613
0.13832985652021,0.17260426985661
0.139678762492452,0.174217056704607
0.141027668464694,0.175829843552604
0.142376574436937,0.177442630400601
0.143725480409179,0.179055417248598
0.145074386381421,0.180668204096595
0.146423292353663,0.182280990944592
0.147772198325905,0.183893777792589
0.149121104298147,0.185506564640586
0.150470010270389,0.187119351488583
0.151818916242632,0.18873213833658
0.153167822214874,0.190344925184577
0.154516728187116,0.191957712032574
0.155865634159358,0.193570498880571
0.1572145401316,0.195183285728568
0.158563446103842,0.196796072576565
0.159912352076084,0.198408859424562
0.161261258048327,0.200021646272559
0.162610164020569,0.201634433120556
0.163959069992811,0.203247219968553
0.165307975965053,0.20486000681655
0.166656881937295,0.206472793664547
0.168005787909537,0.208085580512544
0.169354693881779,0.209698367360541
0.170703599854022,0.211311154208538
0.172052505826264,0.212923941056535
0.173401411798506,0.214536727904532
0.174750317770748,0.216149514752529
0.17609922374299,0.217762301600526
0.177448129715232,0.219375088448523
0.178797035687474,0.22098787529652
0.180145941659717,0.222600662144517
0.181494847631959,0.224213448992514
