Asset,Alpha_Daily,Beta_Mkt,Beta_SMB,Beta_HML,R2
AAPL,0.000260472192337854,1.0884524848578,-0.218618500151313,-0.511104993714313,0.357773709595995
ABBV,0.00018734207454989,1.03383938532376,-0.0540176288211655,-0.480660044600504,0.272705388602739
ABT,9.13798321787102e-05,1.0265311929859,-0.244318353688831,-0.362742623036452,0.480041356837324
ACN,0.000170242396233432,1.02845886368242,-0.282498464285961,-0.189259498111437,0.500784282443888
ADBE,0.000539783898395559,1.26435884368007,-0.117138203118211,-0.858709858818573,0.493595733709024
AIG,-0.000158480714496349,1.04903246944289,0.0404037196065196,0.637124570684275,0.45783812095447
AMD,0.00139973399636402,1.64663856585505,0.682333008020188,-0.476736574863709,0.161052541703404
AMGN,0.000105820201331199,1.07066429051571,-0.0673974012611456,-0.532392346203247,0.385259638420753
AMT,0.000321675960898797,0.627363378671793,-0.404382318244518,-0.332346983520527,0.217109682229805
AMZN,0.000453578427035164,1.28892984225066,-0.180034225874984,-0.90840079131099,0.404420748778566
AVGO,0.000816454875340203,1.32480077578958,0.172853350964656,-0.350543275519588,0.322602279596269
AXP,1.80790598778774e-05,1.01481664961208,-0.109566991252312,0.278148534433387,0.44582642917662
BA,0.000411971148266628,1.09742375641993,-0.182843300404227,0.0401658557022676,0.35366461781586
BAC,0.000197520382492214,1.35228478970817,0.111731708306611,1.27281241691174,0.644663118580486
BK,-5.62637624348641e-07,1.13361713410933,0.0593488405478951,0.892772439392918,0.582382198048516
BKNG,0.000133723528297455,1.10956280601672,0.118901754816547,-0.388374408075515,0.359423496502041
BLK,-2.14168314268954e-05,1.37236978163418,-0.0607163218533853,0.47643693254467,0.67380071260254
BMY,7.21634091880151e-05,0.84558065152297,-0.140896921278366,-0.401524187644953,0.22013993566461
BRK-B,3.16811014300365e-05,1.00452272655457,-0.278826770445559,0.477966818480911,0.705270169536552
C,-0.000113806821499911,1.40427741933624,-0.00173830019457713,1.08249923512071,0.683680488958009
CAT,-0.000118849618726936,1.24914643016042,0.164446638363885,0.575939351058466,0.469904200342631
CL,-0.000124367984510094,0.643602940317885,-0.458456747155893,-0.148488024328077,0.280129053755212
CMCSA,0.000121238649185825,0.914198710695073,-0.179479500094393,0.0737503463040615,0.328818784038822
COF,-8.76868910895227e-05,1.20889379244609,0.129851137651968,0.865769410945252,0.539745483881641
COP,-0.000195010290736583,1.20935652454704,0.172543418095195,1.10510165332636,0.389301139383839
COST,0.000306066816762763,0.725268222233983,-0.281206365381565,-0.122340107548344,0.294320258054669
CRM,9.61179091625535e-05,1.31647706704491,0.0770247851490535,-0.932141294997682,0.420308765517418
CSCO,5.92010543516213e-05,1.09790801802732,-0.181469071113597,-0.140682903702812,0.418864052106466
CVX,-0.000205723218921493,1.00887163638435,-0.201128380811163,0.716856904702709,0.465230936898451
DHR,0.000551090916692809,0.890446911745528,-0.250293903347976,-0.433590706055554,0.177945452581777
DIS,0.000196594711462311,0.905227371147894,-0.161649305338667,0.00819984557621435,0.369043932101259
DUK,0.000163590144968144,0.323642592097254,-0.456617932328755,-0.135741667337024,0.117321657499641
EMR,-0.000163803662933776,1.13912057829794,0.124391786200865,0.54430321205456,0.56060044426791
EXC,0.000154382922487186,0.48868204157752,-0.417058535510336,0.0499147232119059,0.120489955070045
F,-0.000388951263029934,1.05590488045384,0.274627168449018,0.61908343035976,0.386755133608818
FDX,-0.000187305267724009,1.17079872056914,0.109078793058932,0.379933176262374,0.425593696925435
GD,0.000146306444537739,0.931276661840872,-0.101724960454508,0.096798583162529,0.415605738853921
GE,-0.000608205516993678,1.00149295631379,-0.0529188463857319,0.455806169510821,0.251129925887454
GILD,-0.000114073306543221,1.04929897171916,-0.00341976029751364,-0.458514907255056,0.293341783529497
GOOG,0.000122835709278433,1.14486228681778,-0.247774797781377,-0.618984164748944,0.465297621609428
GS,-0.000135280590658309,1.30417901264061,0.0256895172561651,0.91195711478546,0.643394853671055
HON,0.000166475095343238,1.0236942148826,-0.168340460720972,0.118617862001823,0.610892080800568
IBM,-0.000520592568691931,0.915758919085859,-0.209517659989236,0.117162064882566,0.35631789583063
INTC,0.000146830569292347,1.15679006018008,-0.207883624062198,-0.136096696418685,0.382000381676057
JNJ,0.000123444202193473,0.706110944270764,-0.357857106705056,-0.154491949639785,0.358954213594346
JPM,0.000266310165116714,1.21333329544872,-0.143247328131446,1.0009667226542,0.719431017844636
KO,3.7372605424984e-05,0.542593576255679,-0.463317508849992,-0.0420028950928159,0.263728568953991
LIN,1.92342630532393e-05,0.881913836969554,-0.218881831665805,0.170688836329658,0.409797834994567
LLY,0.000250490377957199,0.771316329767356,-0.329024784249414,-0.35487555819086,0.253720334473354
LMT,0.000540512436996362,0.741806704723964,-0.212063324903055,-0.147406272532307,0.314753339642673
LOW,0.000296567565644904,1.00737461698655,0.0186289435836247,0.0307112431573746,0.326609118294498
MA,0.00035830026624864,1.22019044822435,-0.267318112791885,-0.541044832604234,0.597596087129349
MDLZ,4.75952859511883e-05,0.84935016035127,-0.459396777905673,-0.0881814311205736,0.314622032911653
MDT,0.000189218216230641,0.81855559729005,-0.214343763706231,-0.344989744882482,0.374959415743857
MET,-8.31714819795166e-05,1.31889304765513,0.0747441692662456,1.07495032747394,0.608253400567891
META,0.0005737665642056,1.17102880390439,0.0158069621174633,-0.896669956269418,0.289607143495664
MKTX,0.00106448501601071,0.734052883125758,0.255816104848837,-0.262536112363018,0.159804921541999
MMM,-1.91675057292125e-05,0.970686637134806,-0.16453374266935,0.125617468935997,0.473823660583435
MO,0.000118739679605867,0.598739014204559,-0.43124501914018,-0.0719851183600331,0.184512819687556
MRK,0.000160985571052335,0.768202013743532,-0.332818967427703,-0.218160823592262,0.287527783223282
MS,5.29300703989729e-05,1.50446833679268,0.0686534931053219,1.06725124864219,0.654869374834199
MSFT,0.000426436959025865,1.21018569585768,-0.458468707394421,-0.507763704519099,0.50914895255784
NEE,0.000557465820801183,0.408834571454,-0.493287137578277,-0.269602600908184,0.161376447046197
NFLX,0.00133747541041064,1.41037497027326,0.113507716666814,-0.901836419209211,0.201486553234372
