Asset,Weight
AAPL,0.0362730350568413
ABBV,-0.0118518608520256
ABT,-0.0438212771005976
ACN,-0.00577493382541811
ADBE,-0.0193845288853324
AIG,0.0315427413848101
AMD,-0.00632859827639701
AMGN,-0.0541231387499691
AMT,0.0308271818162815
AMZN,0.00572116658810332
AVGO,-0.0063818348953978
AXP,0.0310151392130362
BA,-0.0134794490829686
BAC,0.070101641104863
BK,0.0606028475009903
BKNG,0.0215025557182568
BLK,-0.137490928408912
BMY,0.0139860195617118
BRK-B,-0.0515292232500327
C,-0.0568785777268327
CAT,0.022303137337964
CL,-0.0334014188366304
CMCSA,-0.00705692178971568
COF,-0.00788620202359294
COP,-0.016320657522075
COST,0.0344426292920309
CRM,0.00485975708143647
CSCO,-0.0132539642301303
CVX,0.000774440673276462
DHR,-0.00117539036980876
DIS,0.0272585007764632
DUK,0.0647223513700014
EMR,-0.032695556443605
EXC,-0.017749416272388
F,0.0195670864115872
FDX,-0.0150844806169744
GD,0.0168885543762055
GE,0.00445119117999907
GILD,0.00748342803622446
GOOG,0.0157481332756634
GS,0.0201239228936332
HON,-0.030003364698552
IBM,0.0309754414977255
INTC,0.00728274249895892
JNJ,0.0624202937512646
JPM,-0.00887713722808619
KO,0.0861600357105037
LIN,0.0818497919882274
LLY,0.020258997636936
LMT,0.0740930173233688
LOW,0.00831505105939238
MA,-0.0285279550376829
MDLZ,-0.0712937647168937
MDT,0.0447866976565626
MET,-0.0250763326160124
META,0.00524240092364341
MKTX,0.0427426716236243
MMM,-0.00661413948261426
MO,0.00705834183178941
MRK,0.0197100528038808
MS,-0.079213964088902
MSFT,-0.0387600062751978
NEE,0.0216701305230851
NFLX,-0.00120357886322469
NKE,0.00785309767966237
ORCL,0.018114412454966
OXY,0.0474206587024483
PEP,0.0471467999920171
PFE,0.0531075626107768
PG,0.0644522854653797
PM,0.0113411571291291
QCOM,0.0304773785046975
RTX,0.00259546553189118
SCHW,-0.00155371111798176
SO,0.15238139383263
SPGI,0.0108318099799985
T,0.0428522948037157
TGT,0.0222618455283117
TMO,-0.0355779052894758
TMUS,0.0234018362119728
TXN,-0.0083182100942553
UNH,0.0192814780178466
UPS,0.0549292701729032
USB,0.0967831793645405
V,0.0104914841689812
VZ,0.0171761764526586
WBA,-0.00385473969438635
WFC,0.0421511665770513
WMT,0.0381920370121953
XOM,0.0245392506899539
