Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GOOG,GS,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MDLZ,MDT,MET,META,MKTX,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTX,SCHW,SO,SPGI,T,TGT,TMO,TMUS,TXN,UNH,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2017-06-27,33.441017150878906,50.97306823730469,42.03614807128906,107.54090118408203,142.5399932861328,51.249568939208984,13.399999618530273,133.0516815185547,111.54078674316406,48.8390007019043,18.461061477661133,74.16038513183594,187.4095001220703,19.202533721923828,39.66661071777344,1831.831787109375,343.4476318359375,42.0499382019043,167.35000610351562,48.981040954589844,86.36859130859375,62.033443450927734,32.113800048828125,70.4780044555664,33.85285186767578,142.01658630371094,86.76728820800781,24.710824966430664,73.07986450195312,72.15570831298828,99.28755187988281,61.07832717895508,47.84630584716797,19.68229866027832,7.134152889251709,186.97483825683594,165.1864471435547,121.07835388183594,51.962890625,46.05135726928711,184.3116455078125,107.5390625,102.79051971435547,27.87337875366211,107.31948852539062,70.28628540039062,34.7930793762207,115.73541259765625,72.876708984375,223.36109924316406,65.48004913330078,117.13911437988281,36.37076950073242,71.76626586914062,35.60126876831055,149.65740966796875,183.48583984375,131.69195556640625,41.482276916503906,48.499088287353516,34.650089263916016,63.11836242675781,28.974580764770508,151.02999877929688,47.77313995361328,44.746795654296875,47.962005615234375,90.38538360595703,22.423717498779297,71.09811401367188,77.75162506103516,44.37716293334961,62.92793273925781,38.20939254760742,35.03156661987305,135.74533081054688,15.559366226196289,41.286617279052734,169.9267578125,59.234130859375,61.266639709472656,162.3493194580078,80.97759246826172,37.654537200927734,89.65670013427734,28.932313919067383,55.029178619384766,42.16643524169922,22.08160972595215,55.68418884277344
2017-06-28,33.92961502075195,51.346256256103516,41.872066497802734,108.90505981445312,143.80999755859375,51.59712219238281,13.229999542236328,135.55931091308594,110.53833770751953,49.51649856567383,18.90978240966797,74.95481872558594,188.0973358154297,19.705909729003906,40.40117645263672,1863.33740234375,347.2878723144531,42.027374267578125,169.88999938964844,49.70549774169922,88.4627914428711,61.803009033203125,32.6129035949707,71.8636474609375,33.845157623291016,142.82806396484375,87.17301940917969,24.95979881286621,73.22734069824219,72.36068725585938,100.65333557128906,60.558040618896484,48.18899917602539,19.377105712890625,7.140589714050293,189.4349365234375,166.8396453857422,120.4998779296875,52.89698028564453,46.70488357543945,186.77162170410156,108.38038635253906,103.16915130615234,28.328960418701172,106.37352752685547,71.6991958618164,35.001609802246094,116.96954345703125,72.92938232421875,225.1217498779297,66.07199096679688,119.11468505859375,36.586769104003906,72.17849731445312,36.64954376220703,152.30111694335938,187.3107452392578,132.2193145751953,41.73540496826172,48.2178840637207,34.72844696044922,63.65642547607422,28.72000503540039,153.41000366210938,48.14306640625,44.852603912353516,47.91374588012695,90.72837829589844,22.410442352294922,70.90555572509766,78.27156066894531,44.96158981323242,63.39888381958008,38.41558837890625,34.85429000854492,138.3563690185547,15.658414840698242,41.278682708740234,171.95181274414062,59.690452575683594,62.15040969848633,163.31675720214844,81.28033447265625,38.27303695678711,90.91322326660156,28.932313919067383,54.9080924987793,43.0944938659668,22.226863861083984,55.9725227355957
2017-06-29,33.42938232421875,51.03642272949219,42.08797836303711,108.24500274658203,141.24000549316406,51.32231521606445,12.600000381469727,134.40670776367188,109.13329315185547,48.79650115966797,18.359865188598633,74.65131378173828,186.0620574951172,20.06899642944336,40.72853469848633,1850.305419921875,344.35076904296875,41.98975372314453,169.3000030517578,51.078147888183594,87.78961944580078,61.004634857177734,31.802886962890625,70.55594635009766,33.937538146972656,141.49940490722656,85.89644622802734,24.43850326538086,73.11497497558594,71.77136993408203,99.57013702392578,59.88811492919922,47.63416290283203,19.189708709716797,7.192102432250977,187.75994873046875,163.62461853027344,120.23287200927734,52.11734390258789,45.57760238647461,187.76730346679688,107.04556274414062,102.37870025634766,27.782258987426758,105.435546875,72.76085662841797,34.623172760009766,115.24527740478516,72.57831573486328,222.4767608642578,65.71168518066406,115.9652328491211,35.82246780395508,71.7016372680664,36.998966217041016,150.11459350585938,188.94473266601562,130.48040771484375,40.9429817199707,47.6110954284668,35.06540298461914,62.46173095703125,28.506160736083984,150.08999633789062,47.971622467041016,44.26185607910156,48.0987434387207,89.79289245605469,22.33075523376465,69.79829406738281,77.05401611328125,44.0969352722168,62.958980560302734,38.55904006958008,34.244415283203125,135.6988983154297,15.526344299316406,41.30247116088867,170.1125946044922,58.5447998046875,61.22683334350586,162.9385986328125,81.05879974365234,38.12577819824219,89.20321655273438,28.65485954284668,55.81978225708008,44.24461364746094,22.05837059020996,55.40271759033203
2017-06-30,33.50849151611328,51.057559967041016,41.98432922363281,108.85226440429688,141.44000244140625,50.53025436401367,12.479999542236328,134.12640380859375,108.72246551513672,48.400001525878906,18.282197952270508,75.19583129882812,186.33529663085938,20.019485473632812,40.736515045166016,1843.927490234375,343.67535400390625,41.91453552246094,169.3699951171875,51.00189208984375,89.3021240234375,61.012874603271484,31.97376823425293,71.55187225341797,33.845157623291016,142.61410522460938,85.69853210449219,24.352922439575195,73.262451171875,72.07881927490234,100.0787582397461,59.574527740478516,48.645912170410156,19.31285285949707,7.204977989196777,189.5919647216797,164.57162475585938,120.18838500976562,52.058494567871094,45.127681732177734,185.66717529296875,107.83026885986328,102.17943572998047,27.94792938232422,105.15733337402344,72.96044921875,34.63862991333008,116.01551818847656,72.22730255126953,223.18421936035156,66.50946807861328,115.90799713134766,35.880611419677734,71.73393249511719,36.9183349609375,150.05494689941406,186.6980743408203,130.69387817382812,40.98149108886719,47.42609786987305,34.91651153564453,62.86300277709961,28.538747787475586,149.41000366210938,53.23164749145508,44.20893859863281,48.15503692626953,90.03456115722656,22.304195404052734,69.92667388916016,77.29753112792969,44.20903015136719,63.19703674316406,38.51420974731445,33.95367431640625,135.65248107910156,15.571746826171875,41.46104431152344,170.67999267578125,58.85548400878906,61.250732421875,163.07049560546875,81.65689849853516,38.22885513305664,88.59857940673828,28.816171646118164,55.77705383300781,43.95113754272461,21.98573875427246,55.42329406738281
2017-07-03,33.387489318847656,50.99418640136719,42.070701599121094,109.07229614257812,138.41000366210938,51.152591705322266,12.149999618530273,134.57025146484375,107.97479248046875,47.68299865722656,18.02410316467285,75.96348571777344,187.1267852783203,20.366077423095703,41.38324737548828,1816.9266357421875,348.8906555175781,42.32826232910156,171.8000030517578,52.05426788330078,88.89491271972656,60.856483459472656,31.513715744018555,72.36593627929688,35.153987884521484,141.62425231933594,85.20372772216797,24.37626838684082,74.64581298828125,71.9677963256836,101.2184829711914,59.37494659423828,49.15994644165039,19.189708709716797,7.443212509155273,189.6355438232422,165.8675994873047,122.14627838134766,51.99967956542969,44.62959289550781,190.16867065429688,108.17005157470703,103.3418197631836,27.71599769592285,105.64219665527344,74.4453353881836,34.569095611572266,117.44219970703125,72.57831573486328,224.23745727539062,67.1357192993164,115.26856994628906,35.8889274597168,71.78243255615234,37.73814010620117,147.5205535888672,188.82406616210938,131.72335815429688,41.014503479003906,47.55929946899414,35.7392692565918,62.169864654541016,28.434879302978516,146.1699981689453,52.91586685180664,43.52122497558594,49.273048400878906,89.99559783935547,22.456924438476562,70.40009307861328,76.93555450439453,43.99285888671875,63.18151092529297,38.98039245605469,33.79056930541992,135.40159606933594,15.7285795211792,41.746482849121094,170.621337890625,58.253536224365234,60.836700439453125,164.15223693847656,81.67167663574219,38.714820861816406,88.19232177734375,29.03554344177246,55.648841857910156,44.24461364746094,21.892776489257812,56.36383819580078
2017-07-05,33.5247688293457,51.03642272949219,42.32117462158203,109.17793273925781,141.2100067138672,50.740386962890625,13.1899995803833,135.70729064941406,108.66495513916016,48.56999969482422,18.169235229492188,76.06207275390625,190.16091918945312,20.56412124633789,41.734580993652344,1839.4814453125,348.85003662109375,42.68428039550781,171.85000610351562,52.19916534423828,89.32701873779297,60.708335876464844,31.80124855041504,71.62113952636719,33.9991340637207,140.91082763671875,86.58914947509766,24.431232452392578,73.46609497070312,71.8226089477539,99.49478149414062,59.360721588134766,48.40114212036133,19.01836395263672,7.275805473327637,190.44686889648438,167.4694061279297,121.70133972167969,52.11734390258789,45.275665283203125,190.80458068847656,108.24286651611328,102.07313537597656,28.444927215576172,106.23045349121094,75.1917724609375,34.61543655395508,116.1117935180664,72.57831573486328,227.03515625,66.37222290039062,116.62622833251953,35.82246780395508,72.22931671142578,37.55671310424805,149.4188690185547,191.01504516601562,131.679443359375,41.05853271484375,47.4778938293457,36.17024612426758,62.99979019165039,28.271953582763672,147.61000061035156,51.932437896728516,43.60938262939453,48.05852127075195,89.88643646240234,22.337400436401367,70.34391021728516,78.01490020751953,44.39316940307617,63.54897689819336,39.15970993041992,33.62746047973633,137.08340454101562,15.732702255249023,41.35797119140625,171.9224395751953,58.20499038696289,61.23479461669922,165.55941772460938,81.605224609375,38.773712158203125,88.81587982177734,28.809720993041992,56.01209259033203,44.24461364746094,21.881155014038086,55.505680084228516
2017-07-06,33.20833969116211,50.50832748413086,41.40565490722656,108.20098876953125,140.75,50.98286056518555,13.020000457763672,133.729248046875,108.08155822753906,48.25699996948242,18.438304901123047,75.03166198730469,189.84999084472656,20.390825271606445,40.9041862487793,1845.6822509765625,345.93719482421875,41.873775482177734,170.1999969482422,51.57383346557617,88.51263427734375,60.45320129394531,31.42335319519043,71.11019134521484,33.344703674316406,140.08157348632812,85.94591522216797,24.124963760375977,72.9043197631836,70.83183288574219,98.0713882446289,59.303680419921875,48.28690719604492,19.10403060913086,7.198540687561035,187.58546447753906,166.0344696044922,117.07353210449219,51.102359771728516,45.02637481689453,189.67498779296875,107.89498901367188,101.20298767089844,27.85680389404297,105.34017944335938,74.95097351074219,34.29107666015625,115.91046905517578,71.61296844482422,225.87750244140625,65.70310974121094,115.4980239868164,35.77262878417969,70.8968505859375,37.54998016357422,147.908203125,179.5308837890625,130.58712768554688,40.89894485473633,46.69350051879883,36.146732330322266,62.53469467163086,28.424705505371094,146.25,51.57154083251953,43.071537017822266,47.35071563720703,89.7538833618164,22.058509826660156,70.10317993164062,77.88983917236328,43.86476516723633,63.08320236206055,38.98039245605469,33.613285064697266,135.9869842529297,15.610427856445312,40.78707504272461,171.2376251220703,57.71954345703125,61.19499206542969,164.4072723388672,80.66010284423828,38.420291900634766,88.0978775024414,28.448883056640625,55.356807708740234,44.07012176513672,21.924739837646484,55.00452423095703
2017-07-07,33.545711517333984,50.71955871582031,41.83749771118164,109.31873321533203,142.22000122070312,51.20107650756836,13.359999656677246,133.50338745117188,109.39623260498047,48.9379997253418,18.79759979248047,75.56031036376953,190.68861389160156,20.489856719970703,41.31938171386719,1891.2249755859375,351.7870788574219,42.35098648071289,171.13999938964844,51.787357330322266,88.85336303710938,60.36265182495117,31.686222076416016,71.44794464111328,33.10602569580078,137.4241943359375,87.00477600097656,24.266321182250977,72.67259216308594,70.951416015625,98.04292297363281,59.453346252441406,48.52353286743164,19.050495147705078,7.250049114227295,190.62135314941406,167.9031982421875,116.36157989501953,50.933197021484375,45.61732482910156,188.49526977539062,108.50175476074219,101.5882797241211,28.06389045715332,105.3560562133789,75.3282241821289,34.283348083496094,116.46187591552734,72.218505859375,229.2863006591797,66.18348693847656,116.83656311035156,35.90554428100586,71.46558380126953,37.74484634399414,150.5121307373047,180.14366149902344,131.5726318359375,40.86042404174805,46.737911224365234,36.08405303955078,63.346351623535156,28.610023498535156,150.17999267578125,52.31136703491211,43.512393951416016,47.19789505004883,90.05014038085938,22.14483070373535,70.32785034179688,77.59368896484375,44.31309509277344,63.455814361572266,38.83694839477539,33.58491897583008,138.254150390625,15.526453018188477,40.49370574951172,173.63438415527344,58.26324462890625,62.484825134277344,165.3043670654297,81.4870834350586,38.626461029052734,88.73086547851562,28.42272186279297,55.17876434326172,44.212894439697266,21.884065628051758,55.07316207885742
2017-07-10,33.75046157836914,50.578739166259766,41.656124114990234,109.18671417236328,143.33999633789062,50.97478485107422,13.8100004196167,134.10302734375,107.81044006347656,49.82350158691406,18.966257095336914,75.5334243774414,192.18687438964844,20.539365768432617,41.423179626464844,1894.497802734375,354.9276123046875,42.36613845825195,170.25,51.589088439941406,89.6178970336914,60.14866256713867,31.84231185913086,71.0582275390625,33.29082107543945,134.6509552001953,87.57875061035156,24.329139709472656,72.3565902709961,70.51580810546875,98.29912567138672,59.28946304321289,48.74383544921875,19.146867752075195,7.3015618324279785,190.93540954589844,167.74472045898438,115.87210083007812,50.96261978149414,46.124351501464844,188.9638214111328,108.96287536621094,101.90708923339844,27.87337875366211,104.56909942626953,74.79849243164062,34.2756233215332,116.70694732666016,72.20973205566406,229.5836944580078,65.9861831665039,117.34331512451172,35.7642936706543,70.84810638427734,37.66421890258789,152.55950927734375,181.02561950683594,132.13766479492188,40.5522575378418,46.493709564208984,36.03702926635742,63.82059097290039,28.722036361694336,152.6699981689453,52.988040924072266,43.750457763671875,47.27027893066406,89.08345031738281,22.184677124023438,69.8785400390625,77.7647933959961,44.545284271240234,63.68871307373047,39.11486053466797,33.5281867980957,138.26345825195312,15.463478088378906,39.78800964355469,173.8105010986328,59.03024673461914,62.72368240356445,164.4161376953125,81.37632751464844,38.516014099121094,89.83617401123047,28.239686965942383,54.957950592041016,44.09392166137695,21.273990631103516,55.0319709777832
2017-07-11,33.85980224609375,50.585777282714844,41.5870361328125,109.00189208984375,142.92999267578125,50.845458984375,13.890000343322754,134.97525024414062,107.58033752441406,49.70650100708008,18.89723014831543,75.40797424316406,194.36349487304688,20.300058364868164,41.09580612182617,1901.723876953125,351.4046630859375,41.91164779663086,169.24000549316406,50.95614242553711,89.95030975341797,59.58898162841797,31.85053825378418,70.18351745605469,33.37550354003906,134.7490997314453,87.43031311035156,24.41553497314453,72.41275024414062,70.97704315185547,98.53636932373047,59.282318115234375,48.809104919433594,19.125450134277344,7.327315330505371,189.77511596679688,166.77696228027344,117.38501739501953,51.00674819946289,46.188419342041016,189.892578125,108.5826416015625,101.75431823730469,28.097026824951172,104.31475067138672,74.50955200195312,34.23701477050781,116.3743896484375,72.27118682861328,230.26707458496094,65.41143035888672,118.77750396728516,35.71446228027344,70.8968505859375,37.31479263305664,154.31869506835938,179.40098571777344,131.6166534423828,40.4091682434082,46.1311149597168,35.63740158081055,63.829681396484375,28.665014266967773,154.3300018310547,52.4918098449707,43.979713439941406,47.407012939453125,88.67028045654297,22.025314331054688,69.62175750732422,77.13957977294922,44.297096252441406,63.937137603759766,38.63971710205078,33.5281867980957,137.42718505859375,15.366903305053711,39.970375061035156,174.7594451904297,59.44772720336914,62.9306526184082,163.53663635253906,81.2729263305664,38.11841583251953,90.13851928710938,28.03704833984375,55.05054473876953,43.65765380859375,21.343711853027344,55.334041595458984
2017-07-12,33.908668518066406,51.06889343261719,42.06034851074219,110.42766571044922,145.91000366210938,51.07176208496094,14.289999961853027,134.936279296875,110.00426483154297,50.32550048828125,19.33104705810547,75.99934387207031,194.523681640625,20.09375762939453,41.07984161376953,1918.5118408203125,354.1546630859375,41.691978454589844,169.9199981689453,51.03239822387695,90.54864501953125,59.4902229309082,32.05592727661133,71.18814086914062,33.29082107543945,135.3197784423828,89.45897674560547,24.47049903869629,72.95346069335938,71.31014251708984,99.04877471923828,59.85247039794922,49.00493240356445,19.31285285949707,7.385264873504639,190.45558166503906,167.77809143066406,118.27498626708984,51.337738037109375,46.87075424194336,190.2607421875,109.0275650024414,102.09308624267578,28.370370864868164,105.10965728759766,74.2527084350586,34.37602615356445,117.12712097167969,73.28041076660156,230.2187957763672,65.38568115234375,119.7813949584961,35.92215347290039,71.34371185302734,37.3349494934082,157.9264373779297,179.8744354248047,132.6461944580078,40.662315368652344,46.45671081542969,35.229942321777344,64.88760375976562,28.671123504638672,158.75,52.52790832519531,44.4822883605957,47.5839729309082,89.47325134277344,22.058509826660156,69.77422332763672,77.8108901977539,44.99361038208008,64.02509307861328,38.59489822387695,33.6912841796875,138.85812377929688,15.463478088378906,40.33512496948242,176.2855682373047,59.719581604003906,64.10903930664062,164.18739318847656,81.64213562011719,38.21411895751953,90.8659896850586,28.252777099609375,55.21435546875,43.76076889038086,21.480255126953125,55.581207275390625
2017-07-13,34.38098907470703,51.60176086425781,41.756385803222656,110.656494140625,145.0500030517578,51.83149719238281,13.529999732971191,136.31468200683594,110.21788787841797,50.03150177001953,19.400863647460938,76.49214172363281,194.3258056640625,20.31656837463379,41.56689453125,1913.1094970703125,356.2619323730469,41.41170120239258,169.69000244140625,51.10866165161133,90.14144897460938,59.449073791503906,32.29416275024414,71.52586364746094,33.298519134521484,136.96945190429688,88.63761138916016,24.556888580322266,73.12200927734375,71.9677963256836,98.96337127685547,59.417701721191406,48.80094528198242,19.125450134277344,7.468967914581299,190.15025329589844,166.9772186279297,119.20941925048828,51.91142272949219,47.0361213684082,192.7792510986328,109.48062133789062,102.04656982421875,28.36209487915039,104.81552124023438,74.72622680664062,34.31424331665039,116.91703033447266,73.73677825927734,230.54043579101562,65.64305114746094,119.96308898925781,35.96369552612305,71.34371185302734,37.43574142456055,158.2842254638672,180.26437377929688,132.5143280029297,40.43668746948242,46.538108825683594,35.66874694824219,65.45301818847656,28.63039779663086,158.2100067138672,52.27527618408203,44.39411163330078,47.85744094848633,88.88855743408203,22.098356246948242,69.56560516357422,77.33700561523438,45.01763916015625,63.69389343261719,38.711448669433594,33.41472625732422,139.0532684326172,15.203158378601074,42.26982116699219,176.11923217773438,59.13704299926758,64.12496948242188,163.1232452392578,82.07778930664062,38.449745178222656,90.63923645019531,28.42926788330078,55.56336975097656,44.10184097290039,21.802722930908203,55.58806228637695
2017-07-14,34.67646408081055,51.94279098510742,42.47722625732422,111.51020050048828,146.16000366210938,51.815338134765625,13.920000076293945,137.9423065185547,111.779052734375,50.09049987792969,19.634634017944336,76.41151428222656,196.47421264648438,19.97822380065918,41.80643844604492,1923.135009765625,356.63623046875,41.775299072265625,169.47000122070312,50.8798942565918,90.3907241821289,59.99531555175781,32.203800201416016,71.44794464111328,33.45249557495117,136.43438720703125,89.06312561035156,24.674684524536133,73.33970642089844,72.59983825683594,99.7225112915039,59.75266647338867,49.10284423828125,19.307497024536133,7.520476341247559,191.1011199951172,167.81141662597656,119.16492462158203,51.904052734375,47.47461700439453,191.27316284179688,109.88509368896484,102.45178985595703,28.726551055908203,105.40374755859375,74.04400634765625,34.507328033447266,117.55595397949219,74.02638244628906,231.641845703125,65.2484130859375,121.43548583984375,36.23784637451172,71.96118927001953,37.1871223449707,158.98988342285156,176.7736053466797,132.94122314453125,40.684326171875,46.66390609741211,35.41800308227539,66.37415313720703,28.850345611572266,161.1199951171875,52.329410552978516,44.57926559448242,48.11482620239258,89.59799194335938,22.197954177856445,69.88653564453125,78.40318298339844,45.48197937011719,63.8698616027832,38.585941314697266,33.514007568359375,138.88601684570312,15.240947723388672,42.20637512207031,177.01927185058594,59.45744323730469,65.28736877441406,164.37213134765625,83.00074768066406,38.34666442871094,91.57455444335938,28.475025177001953,56.20440673828125,43.61798858642578,22.177473068237305,55.8008918762207
2017-07-17,34.797454833984375,51.651485443115234,42.3469352722168,111.26376342773438,146.39999389648438,51.76683807373047,13.800000190734863,138.15260314941406,111.25316619873047,50.50199890136719,19.535003662109375,76.35774230957031,196.93592834472656,19.82143783569336,42.596885681152344,1917.8018798828125,345.4815673828125,41.50260543823242,170.16000366210938,50.96376037597656,90.4489517211914,60.07806396484375,32.203800201416016,71.16214752197266,33.2523193359375,136.29168701171875,88.36052703857422,24.737512588500977,73.17819213867188,73.00126647949219,99.4378433227539,59.88811492919922,49.24971389770508,19.82685661315918,7.559112071990967,187.97802734375,166.96890258789062,119.34291076660156,52.33065414428711,47.34699249267578,191.82537841796875,109.42396545410156,101.6347427368164,28.5526123046875,105.04605865478516,73.35372161865234,34.545936584472656,117.75727844238281,73.40326690673828,231.93118286132812,65.56584167480469,121.83702850341797,36.29599380493164,69.92188262939453,37.19383239746094,158.75132751464844,176.8107147216797,132.884765625,40.37615966796875,46.33091354370117,35.519874572753906,66.89398956298828,28.709827423095703,161.6999969482422,52.13993835449219,44.64121627807617,48.29177474975586,89.59799194335938,22.07843017578125,70.24762725830078,78.317626953125,45.2017707824707,63.714576721191406,38.487308502197266,33.357994079589844,138.9232177734375,15.278731346130371,42.60282897949219,176.8627166748047,59.59336471557617,65.01669311523438,163.888427734375,82.72017669677734,38.309844970703125,91.48008728027344,28.540401458740234,56.39671325683594,43.39588928222656,22.186189651489258,55.512550354003906
2017-07-18,34.91844940185547,51.31756591796875,42.32957458496094,112.09989166259766,147.88999938964844,51.62135696411133,13.479999542236328,138.21487426757812,111.8940658569336,51.22249984741211,19.680919647216797,76.62655639648438,196.21981811523438,19.7224178314209,42.740604400634766,1948.1444091796875,347.3122253417969,41.464725494384766,170.30999755859375,51.00951385498047,89.62029266357422,60.02014923095703,32.18735885620117,70.64253234863281,33.15991973876953,135.0968017578125,88.3407211303711,24.745365142822266,72.83409881591797,73.00984191894531,100.34880828857422,60.00212097167969,48.81725311279297,19.896467208862305,7.565549373626709,184.10475158691406,168.03671264648438,119.6543960571289,52.727806091308594,47.94192123413086,186.84689331054688,109.36737060546875,102.2923583984375,28.602306365966797,106.88226318359375,73.09688568115234,34.499595642089844,117.42467498779297,73.45592498779297,230.56455993652344,65.16265106201172,122.12389373779297,36.38738250732422,69.75125885009766,36.79737091064453,161.86216735839844,178.7974853515625,132.6524658203125,40.35413360595703,46.18290710449219,35.3709831237793,66.8483657836914,28.815719604492188,183.60000610351562,52.01362991333008,44.650081634521484,48.45263671875,89.66035461425781,22.15147590637207,71.1222152709961,78.73883819580078,45.06566619873047,63.466163635253906,38.424564361572266,33.41472625732422,139.25770568847656,15.110786437988281,42.60282897949219,175.4539794921875,59.60307312011719,65.41478729248047,164.32814025878906,82.57250213623047,38.01531982421875,92.18863677978516,28.34429168701172,56.033477783203125,43.467288970947266,22.136808395385742,55.334041595458984
2017-07-19,35.13716125488281,51.70122146606445,42.928836822509766,112.46074676513672,148.9199981689453,51.880008697509766,13.550000190734863,139.53878784179688,111.26959991455078,51.34349822998047,19.95705795288086,76.9939193725586,198.70742797851562,19.854450225830078,42.36533737182617,1963.7789306640625,346.97052001953125,41.714698791503906,171.1999969482422,50.86463165283203,90.27316284179688,59.99531555175781,32.31879806518555,70.4780044555664,33.61418151855469,134.864990234375,88.6277084350586,25.0516357421875,73.35370635986328,73.27458953857422,101.36415100097656,60.11616897583008,49.445526123046875,20.019617080688477,7.617057800292969,185.70986938476562,168.80426025390625,119.87689208984375,53.485374450683594,48.21455383300781,186.47879028320312,110.14400482177734,97.99474334716797,28.627159118652344,107.47845458984375,73.20122528076172,34.623172760009766,118.70256042480469,73.92106628417969,233.68386840820312,65.90896606445312,122.42025756835938,36.66984558105469,69.58876037597656,36.925045013427734,163.1343231201172,180.68211364746094,133.14840698242188,40.47520446777344,46.338314056396484,36.530696868896484,67.35906982421875,28.878856658935547,183.86000061035156,52.12189483642578,45.13685607910156,48.97545623779297,89.91761016845703,22.324119567871094,71.44567108154297,80.04192352294922,45.457950592041016,63.699058532714844,37.805965423583984,33.492733001708984,139.5550994873047,15.169570922851562,42.896217346191406,176.23660278320312,60.166194915771484,65.41478729248047,166.38607788085938,83.42899322509766,38.34666442871094,92.82160186767578,28.403121948242188,56.66737747192383,43.57833480834961,22.04093360900879,55.505680084228516
2017-07-20,34.978939056396484,52.58219909667969,44.16206741333008,113.12960052490234,149.94000244140625,51.912315368652344,13.800000190734863,139.64784240722656,111.94336700439453,51.435001373291016,19.880966186523438,76.4742202758789,198.1420440673828,19.75541877746582,43.04400634765625,1970.7977294921875,347.6376647949219,41.99497604370117,171.3300018310547,50.6053466796875,89.82952880859375,59.66425704956055,32.44203186035156,70.15756225585938,33.48636245727539,134.6420135498047,89.5975112915039,25.02022361755371,73.47310638427734,71.06246948242188,101.8765640258789,60.52953338623047,49.20075225830078,20.132051467895508,7.630102157592773,184.83755493164062,168.85427856445312,118.76446533203125,54.000213623046875,48.078487396240234,186.00184631347656,109.17317962646484,98.08109283447266,28.7845401763916,108.55952453613281,73.20122528076172,34.61543655395508,118.34368133544922,74.37740325927734,232.87991333007812,62.245941162109375,122.83139038085938,36.39569091796875,69.60502624511719,36.67642593383789,163.52195739746094,180.73782348632812,133.36810302734375,40.497222900390625,46.575096130371094,36.44449996948242,67.68739318847656,29.22100830078125,183.60000610351562,53.321868896484375,45.251895904541016,48.677852630615234,90.05014038085938,22.27099609375,71.64783477783203,78.88361358642578,43.208290100097656,63.37300491333008,37.77906799316406,33.55656051635742,140.41920471191406,15.333318710327148,43.27680587768555,177.606201171875,59.34093475341797,65.83675384521484,168.41766357421875,83.12628173828125,38.64118957519531,92.68933868408203,28.906469345092773,56.838321685791016,43.530738830566406,22.084510803222656,55.512550354003906
2017-07-21,34.9626579284668,53.02269744873047,44.153377532958984,113.40245056152344,149.52000427246094,51.88806915283203,13.880000114440918,140.34092712402344,112.48564910888672,51.28350067138672,19.855857849121094,76.68927764892578,199.89468383789062,19.639894485473633,42.604881286621094,1966.529052734375,348.7523193359375,42.15403747558594,171.33999633789062,50.33081817626953,89.218505859375,60.64084243774414,32.55704879760742,76.15918731689453,33.03709411621094,134.15159606933594,88.75635528564453,25.0045166015625,72.5040512084961,70.93431854248047,101.62036895751953,60.72196960449219,48.98861312866211,20.06780433654785,7.519238471984863,185.3870849609375,170.64794921875,115.29361724853516,54.25029754638672,48.31536102294922,184.22801208496094,110.30581665039062,97.69583892822266,28.767974853515625,107.55792999267578,72.95240783691406,34.77763366699219,117.9323501586914,74.29844665527344,232.43768310546875,63.34398651123047,123.59627532958984,36.578460693359375,69.19876861572266,36.72345733642578,163.42254638671875,180.96063232421875,132.5583038330078,40.40365982055664,46.34571075439453,36.50718307495117,67.29522705078125,29.402271270751953,188.5399932861328,54.088768005371094,44.959835052490234,48.28372573852539,90.92328643798828,22.231157302856445,71.65589904785156,78.69935607910156,43.10420608520508,63.911258697509766,37.788028717041016,33.95367431640625,142.95584106445312,15.329118728637695,43.48295211791992,178.22254943847656,60.75843811035156,65.04852294921875,168.6638946533203,83.20011138916016,38.37611770629883,94.09701538085938,28.913000106811523,56.19728469848633,42.96757125854492,22.122278213500977,55.00452423095703
