Date,Mkt-RF,SMB,HML,RF
2013-05-15,0.0051,-0.0012,0.0023,0.0
2013-05-16,-0.0051,0.0014000000000000002,-0.0024,0.0
2013-05-17,0.0104,-0.0001,0.0033,0.0
2013-05-20,-0.0006,0.0036,0.004699999999999999,0.0
2013-05-21,0.0016,-0.0013,-0.0007000000000000001,0.0
2013-05-22,-0.0092,-0.0072,-0.0014000000000000002,0.0
2013-05-23,-0.0019,0.004699999999999999,-0.0009,0.0
2013-05-24,-0.0006,0.0018,0.0009,0.0
2013-05-28,0.0077,0.0063,0.0022,0.0
2013-05-29,-0.006999999999999999,-0.0034999999999999996,0.005600000000000001,0.0
2013-05-30,0.005,0.0034000000000000002,0.004699999999999999,0.0
2013-05-31,-0.0132,0.0051,-0.0025,0.0
2013-06-03,0.0049,0.0013,0.001,0.0
2013-06-04,-0.0055000000000000005,-0.0031,-0.0018,0.0
2013-06-05,-0.0138,0.0009,-0.0028000000000000004,0.0
2013-06-06,0.0089,0.0019,0.002,0.0
2013-06-07,0.013000000000000001,-0.004699999999999999,0.0005,0.0
2013-06-10,0.0007000000000000001,0.0066,0.0021,0.0
2013-06-11,-0.0104,0.0001,-0.0058,0.0
2013-06-12,-0.008199999999999999,0.0001,-0.0006,0.0
2013-06-13,0.0147,0.0009,0.0033,0.0
2013-06-14,-0.0059,-0.0022,-0.005600000000000001,0.0
2013-06-17,0.0073,-0.0008,0.0012,0.0
2013-06-18,0.008,0.0038,-0.0005,0.0
2013-06-19,-0.0128,0.0015,0.0015,0.0
2013-06-20,-0.0245,0.0002,0.0039000000000000003,0.0
2013-06-21,0.0013,0.0021,-0.001,0.0
2013-06-24,-0.011899999999999999,0.0009,-0.0066,0.0
2013-06-25,0.0096,-0.0002,0.0083,0.0
2013-06-26,0.0092,-0.0073,-0.0017000000000000001,0.0
2013-06-27,0.0077,0.008100000000000001,0.0037,0.0
2013-06-28,-0.0034000000000000002,0.0031,-0.0012,0.0
2013-07-01,0.0070999999999999995,0.0078000000000000005,-0.0013,0.0
2013-07-02,-0.001,0.0001,0.0007000000000000001,0.0
2013-07-03,0.0012,0.0019,-0.0021,0.0
2013-07-05,0.0111,0.0034999999999999996,0.0046,0.0
2013-07-08,0.0053,-0.0018,0.0005,0.0
2013-07-09,0.0074,0.0004,0.003,0.0
2013-07-10,0.0006,0.0036,-0.0037,0.0
2013-07-11,0.013300000000000001,-0.0009,-0.0067,0.0
2013-07-12,0.0034000000000000002,-0.0002,0.0021,0.0
2013-07-15,0.002,0.0049,0.0034000000000000002,0.0
2013-07-16,-0.0040999999999999995,0.0003,0.0009,0.0
2013-07-17,0.003,-0.0002,0.0019,0.0
2013-07-18,0.0055000000000000005,0.0001,0.0095,0.0
2013-07-19,0.0009,-0.0013,0.0027,0.0
2013-07-22,0.0023,0.0009,0.0033,0.0
2013-07-23,-0.0015,0.001,0.0031,0.0
2013-07-24,-0.0039000000000000003,-0.0028000000000000004,-0.0028000000000000004,0.0
2013-07-25,0.0042,0.0060999999999999995,-0.004,0.0
2013-07-26,0.0002,-0.0062,-0.0028000000000000004,0.0
2013-07-29,-0.0037,-0.0031,-0.0031,0.0
2013-07-30,0.0011,0.002,-0.005,0.0
2013-07-31,0.001,0.0013,0.0015,0.0
2013-08-01,0.013999999999999999,0.0006,0.0008,0.0
2013-08-02,0.002,-0.0021,-0.0033,0.0
2013-08-05,-0.0007000000000000001,0.0049,-0.0017000000000000001,0.0
2013-08-06,-0.0068000000000000005,-0.0033,-0.001,0.0
2013-08-07,-0.0042,-0.0037,-0.0002,0.0
2013-08-08,0.004699999999999999,0.0,0.0004,0.0
2013-08-09,-0.0029,0.0012,-0.0019,0.0
2013-08-12,-0.0002,0.0059,-0.0022,0.0
2013-08-13,0.002,-0.003,-0.0005,0.0
2013-08-14,-0.005,0.0013,0.0027,0.0
2013-08-15,-0.0147,-0.0037,0.0028000000000000004,0.0
2013-08-16,-0.0026,0.0005,0.0013,0.0
2013-08-19,-0.0062,-0.0019,-0.0074,0.0
2013-08-20,0.0052,0.0087,0.0009,0.0
2013-08-21,-0.0059,-0.0002,-0.0043,0.0
2013-08-22,0.0092,0.0051,0.0007000000000000001,0.0
2013-08-23,0.0037,-0.0021,-0.0016,0.0
2013-08-26,-0.0029,0.0051,-0.0048,0.0
2013-08-27,-0.0175,-0.0072,-0.0034000000000000002,0.0
2013-08-28,0.003,0.001,0.0009,0.0
2013-08-29,0.0034000000000000002,0.008100000000000001,-0.0044,0.0
2013-08-30,-0.004699999999999999,-0.0115,-0.0019,0.0
2013-09-03,0.0046,0.0004,0.0015,0.0
2013-09-04,0.0083,0.0001,-0.0018,0.0
2013-09-05,0.0019,0.0015,0.004,0.0
2013-09-06,0.0,0.0003,0.0003,0.0
2013-09-09,0.0109,0.0046,-0.0021,0.0
2013-09-10,0.008,0.0001,0.002,0.0
2013-09-11,0.0028000000000000004,-0.0023,0.0003,0.0
2013-09-12,-0.0032,-0.0022,-0.0036,0.0
2013-09-13,0.0029,0.0025,-0.0004,0.0
2013-09-16,0.0049,-0.0044,0.004,0.0
2013-09-17,0.0054,0.004699999999999999,-0.0012,0.0
2013-09-18,0.011000000000000001,-0.0016,-0.004699999999999999,0.0
2013-09-19,-0.0013,0.0017000000000000001,-0.0062,0.0
2013-09-20,-0.0063,0.0053,0.0019,0.0
2013-09-23,-0.0045000000000000005,0.0045000000000000005,-0.0040999999999999995,0.0
2013-09-24,-0.0013,0.0053,0.0002,0.0
2013-09-25,-0.0023,0.0003,0.0058,0.0
2013-09-26,0.0040999999999999995,0.002,-0.0073,0.0
2013-09-27,-0.0039000000000000003,-0.0003,-0.0001,0.0
2013-09-30,-0.0049,0.0052,0.0001,0.0
2013-10-01,0.009000000000000001,0.0040999999999999995,-0.001,0.0
